시도명,시군구명,지역구분,업종명,이용자 구분,연령대,성별,연월,이용자수,이용횟수,이용금액,연도
제주도,제주시,읍면,소매,제주도민,20대미만,여,2018-12,21,22,460100,2018
제주도,제주시,읍면,소매,제주도민,20대미만,남,2018-12,17,19,891350,2018
제주도,제주시,읍면,소매,제주도민,20대,여,2018-12,253,316,7277936,2018
제주도,제주시,읍면,소매,제주도민,20대,남,2018-12,309,455,11192127,2018
제주도,제주시,읍면,소매,내국인관광객,60대이상,여,2018-12,364,431,25605260,2018
제주도,제주시,읍면,소매,내국인관광객,60대이상,남,2018-12,449,543,29258380,2018
제주도,제주시,읍면,소매,내국인관광객,50대,여,2018-12,821,1011,42650004,2018
제주도,제주시,읍면,소매,내국인관광객,50대,남,2018-12,894,1095,46510728,2018
제주도,제주시,읍면,소매,내국인관광객,40대,여,2018-12,878,1055,33348670,2018
제주도,제주시,읍면,소매,내국인관광객,40대,남,2018-12,966,1233,39875744,2018
제주도,제주시,읍면,소매,내국인관광객,30대,여,2018-12,1288,1496,41784812,2018
제주도,제주시,읍면,소매,내국인관광객,30대,남,2018-12,1173,1435,45362981,2018
제주도,제주시,읍면,소매,내국인관광객,20대미만,여,2018-12,59,69,1313330,2018
제주도,제주시,읍면,소매,내국인관광객,20대미만,남,2018-12,39,52,911950,2018
제주도,제주시,읍면,소매,내국인관광객,20대,여,2018-12,1982,2235,49819370,2018
제주도,제주시,읍면,소매,내국인관광객,20대,남,2018-12,906,1033,25949630,2018
제주도,제주시,읍면,문화/레져,제주도민,60대이상,여,2018-12,132,184,14549585,2018
제주도,제주시,읍면,문화/레져,제주도민,60대이상,남,2018-12,456,657,59904433,2018
제주도,제주시,읍면,문화/레져,제주도민,50대,여,2018-12,362,471,42665895,2018
제주도,제주시,읍면,문화/레져,제주도민,50대,남,2018-12,1123,1475,134603945,2018
제주도,제주시,읍면,문화/레져,제주도민,40대,여,2018-12,505,684,53684750,2018
제주도,제주시,읍면,문화/레져,제주도민,40대,남,2018-12,1075,1452,104342197,2018
제주도,제주시,읍면,문화/레져,제주도민,30대,여,2018-12,498,677,17751410,2018
제주도,제주시,읍면,문화/레져,제주도민,30대,남,2018-12,529,756,30211280,2018
제주도,제주시,읍면,문화/레져,제주도민,20대미만,여,2018-12,17,26,241900,2018
제주도,제주시,읍면,문화/레져,제주도민,20대미만,남,2018-12,39,139,918590,2018
제주도,제주시,읍면,문화/레져,제주도민,20대,여,2018-12,169,243,3532100,2018
제주도,제주시,읍면,문화/레져,제주도민,20대,남,2018-12,224,698,7486110,2018
제주도,제주시,읍면,문화/레져,내국인관광객,60대이상,여,2018-12,329,427,33559556,2018
제주도,제주시,읍면,문화/레져,내국인관광객,60대이상,남,2018-12,798,1143,145922497,2018
제주도,제주시,읍면,문화/레져,내국인관광객,50대,여,2018-12,825,1018,58400300,2018
